"Players","Ratings","games","Hard_Ratings","Hard_games","Grass_Ratings","Grass_games","Clay_Ratings","Clay_games","Carpet_Ratings","Carpet_games","Nationality","Handed"
"Prpic A.",1478.26660367006,2,1500,0,1500,0,1478.30182377776,2,1500,0,"SWE","R"
"Levinsky J.",1487.11924651386,1,1500,0,1500,0,1486.51859584497,1,1500,0,"CZE","R"
"Levine I.",1479.03322069881,2,1489.39087450978,1,1489.7,1,1500,0,1500,0,"RUS","U"
"Behrmann M.",1487.68592893417,1,1487.11377678144,1,1500,0,1500,0,1500,0,"USA","R"
"Ayala D.",1488.39371235389,1,1488.86328781063,1,1500,0,1500,0,1500,0,"USA","R"
"Neumuller I.",1488.84748718357,1,1500,0,1500,0,1489.48985040056,1,1500,0,"AUT","R"
"Yim R.",1487.8187210922,2,1486.10473902918,2,1500,0,1500,0,1500,0,"USA","L"
"Fyrstenberg M.",1477.43603180197,3,1500,0,1500,0,1476.89121374962,3,1500,0,"POL","L"
"Matkowski M.",1481.82011266146,2,1500,0,1500,0,1483.85546825809,2,1500,0,"POL","R"
"Urban F.",1478.46583843614,2,1500,0,1500,0,1477.91163534119,2,1500,0,"POL","R"
"Carlson A.",1488.886094727,1,1489.29916648522,1,1500,0,1500,0,1500,0,"USA","L"
"Quintero M.",1489.06508427534,1,1500,0,1500,0,1489.5039872181,1,1500,0,"COL","R"
"Moraru G.",1480.52553443239,2,1500,0,1500,0,1481.39023490959,2,1500,0,"ROU","R"
"Ratiwatana S.",1489.40885832544,1,1489.80903599253,1,1500,0,1500,0,1500,0,"THA","R"
"Snobel P.",1470.09168208923,4,1474.10584916747,3,1491.00147505964,1,1500,0,1500,0,"CZE","L"
"Davletshin V.",1489.24738701616,1,1490.18582065536,1,1500,0,1500,0,1500,0,"RUS","U"
"Andersen J.",1488.00678923548,1,1488.48542270557,1,1500,0,1500,0,1500,0,"DEN","U"
"Mankad H.",1467.61268528936,3,1478.18654429789,2,1489.87769165943,1,1500,0,1500,0,"IND","R"
"Ferrero J.",1481.39014129842,2,1489.72239548123,1,1500,0,1492.94696329642,1,1500,0,"ESP","R"
"Reichel A.",1494.27589983784,1,1493.92822628361,1,1500,0,1500,0,1500,0,"USA","R"
